booking_id,partner_id,city,category,booking_date,amount_inr,complaint_flag,sla_breach_flag,is_test
B0001,P041,Chennai,Plumbing,2026-02-04,1369,0.0,1,0
B0002,P025,Pune,Deep Home Cleaning,2026-03-16,4608,0.0,0,0
B0003,P047,Chennai,Plumbing,2026-02-17,772,0.0,0,0
B0004,P047,Chennai,Plumbing,2026-03-01,1133,0.0,1,0
B0005,P021,Delhi NCR,AC Repair & Service,2026-01-13,1316,0.0,0,0
B0006,P019,Delhi NCR,Plumbing,2026-01-18,805,1.0,0,0
B0007,P043,Chennai,Plumbing,2026-02-04,581,0.0,0,0
B0008,P041,Chennai,Plumbing,2026-02-04,1438,0.0,0,0
B0009,P022,Delhi NCR,Plumbing,2026-03-17,1251,0.0,0,0
B0010,P041,Chennai,Plumbing,2026-02-28,418,0.0,0,0
B0011,P025,Pune,Deep Home Cleaning,2026-01-05,1268,0.0,1,0
B0012,P043,Chennai,Plumbing,2026-03-29,1260,1.0,0,0
B0013,P031,Pune,Salon for Women,2026-03-05,3117,0.0,0,0
B0014,P029,Pune,Deep Home Cleaning,2026-02-01,4825,0.0,0,0
B0015,P043,Chennai,Plumbing,2026-01-18,1146,0.0,0,0
B0016,P042,Chennai,Deep Home Cleaning,2026-03-10,3545,0.0,0,0
B0017,P028,Pune,Electrical Repair,2026-01-06,308,0.0,0,0
B0018,P036,Hyderabad,Salon for Men,2026-03-16,1414,0.0,0,0
B0019,P006,Bengaluru,AC Repair & Service,2026-03-15,538,1.0,0,0
B0020,P046,Chennai,Deep Home Cleaning,2026-02-04,4774,0.0,0,0
B0021,P005,Bengaluru,Deep Home Cleaning,2026-01-18,2860,0.0,0,0
B0022,P044,Chennai,Electrical Repair,2026-02-09,1201,0.0,0,0
B0023,P047,Chennai,Plumbing,2026-02-11,1034,0.0,1,0
B0024,P010,Mumbai,Salon for Men,2026-01-29,1176,0.0,1,0
B0025,P029,Pune,Deep Home Cleaning,2026-03-10,3538,0.0,0,0
B0026,P023,Delhi NCR,Salon for Women,2026-01-29,2168,1.0,1,0
B0027,P003,Bengaluru,AC Repair & Service,2026-01-24,1016,0.0,0,0
B0028,P048,Chennai,Plumbing,2026-03-07,1385,0.0,0,0
B0029,P002,Bengaluru,Salon for Men,2026-01-27,858,0.0,0,0
B0030,P045,Chennai,Deep Home Cleaning,2026-02-01,2816,0.0,0,0
B0031,P047,Chennai,Plumbing,2026-01-06,1449,0.0,0,0
B0032,P026,Pune,Salon for Men,2026-02-28,638,0.0,0,0
B0033,P027,Pune,Salon for Women,2026-02-29,2648,0.0,0,0
B0034,P010,Mumbai,Salon for Men,2026-01-13,429,1.0,0,0
B0035,P030,Pune,Electrical Repair,2026-02-28,587,0.0,0,0
B0036,P004,Bengaluru,Electrical Repair,2026-03-07,403,0.0,0,0
B0038,P039,Hyderabad,Deep Home Cleaning,2026-01-18,2762,1.0,1,0
B0039,P032,Pune,Deep Home Cleaning,2026-01-13,2557,0.0,0,0
B0040,P025,Pune,Deep Home Cleaning,2026-01-02,2063,0.0,0,0
B0041,P045,Chennai,Deep Home Cleaning,2026-02-12,1313,0.0,0,0
B0042,P010,Mumbai,Salon for Men,2026-01-08,424,0.0,0,0
B0043,P020,Delhi NCR,Deep Home Cleaning,2026-02-17,4548,1.0,0,0
B0044,P028,Pune,Electrical Repair,2026-01-01,595,0.0,0,0
B0045,P028,Pune,Electrical Repair,2026-03-10,252,0.0,0,0
B0046,P035,Hyderabad,Electrical Repair,2026-02-21,669,0.0,0,0
B0047,P014,Mumbai,Electrical Repair,2026-01-28,787,0.0,1,0
B0048,P009,Mumbai,Deep Home Cleaning,2026-01-21,1231,0.0,0,0
B0049,P020,Delhi NCR,Deep Home Cleaning,2026-02-29,2897,0.0,0,0
B0050,P032,Pune,Deep Home Cleaning,2026-02-02,2577,0.0,0,0
B0051,P047,Chennai,Plumbing,2026-03-15,409,1.0,0,0
B0052,P031,Pune,Salon for Women,2026-01-15,3355,0.0,0,0
B0053,P041,Chennai,Plumbing,2026-01-17,326,0.0,0,0
B0054,P034,Hyderabad,Salon for Women,2026-02-19,2589,1.0,0,0
B0055,P021,Delhi NCR,AC Repair & Service,2026-01-17,1505,0.0,0,0
B0056,P017,Delhi NCR,Electrical Repair,2026-01-06,1342,0.0,0,0
B0057,P003,Bengaluru,AC Repair & Service,2026-03-11,2351,0.0,0,0
B0058,P026,Pune,Salon for Men,2026-02-21,986,0.0,0,0
B0059,P010,Mumbai,Salon for Men,2026-01-11,594,0.0,0,0
B0060,P008,Bengaluru,Salon for Women,2026-03-11,2552,0.0,0,0
B0061,P028,Pune,Electrical Repair,2026-02-06,1593,0.0,0,0
B0062,P021,Delhi NCR,AC Repair & Service,2026-02-08,1631,0.0,0,0
B0063,P023,Delhi NCR,Salon for Women,2026-03-10,772,0.0,0,0
B0064,P044,Chennai,Electrical Repair,2026-02-03,637,0.0,0,0
B0065,P009,Mumbai,Deep Home Cleaning,2026-03-01,2504,0.0,0,0
B0066,P002,Bengaluru,Salon for Men,2026-02-03,477,0.0,0,0
B0067,P006,Bengaluru,AC Repair & Service,2026-02-01,1194,0.0,0,0
B0068,P004,Bengaluru,Electrical Repair,2026-02-09,1369,0.0,0,0
B0069,P005,Bengaluru,Deep Home Cleaning,2026-01-15,2308,0.0,0,0
B0070,P027,Pune,Salon for Women,2026-01-04,2942,0.0,0,0
B0071,P015,Mumbai,Salon for Women,2026-01-07,838,0.0,0,0
B0072,P025,Pune,Deep Home Cleaning,2026-01-13,4446,1.0,0,0
B0073,P023,Delhi NCR,Salon for Women,2026-01-26,754,0.0,0,0
B0074,P047,Chennai,Plumbing,2026-01-17,674,0.0,0,0
B0075,P005,Bengaluru,Deep Home Cleaning,2026-02-20,1211,0.0,0,0
B0076,P023,Delhi NCR,Salon for Women,2026-02-14,1602,0.0,1,0
B0077,P018,Delhi NCR,Deep Home Cleaning,2026-03-02,2767,0.0,0,0
B0078,P048,Chennai,Plumbing,2026-01-08,948,0.0,0,0
B0079,P012,Mumbai,AC Repair & Service,2026-02-17,845,0.0,0,0
B0080,P035,Hyderabad,Electrical Repair,2026-03-13,1476,0.0,0,0
B0081,P039,Hyderabad,Deep Home Cleaning,2026-03-03,4815,0.0,0,0
B0082,P030,Pune,Electrical Repair,2026-03-13,1381,0.0,0,0
